id,Name,Notes,operating_locations,descriptive_name,entity_type_past,established_date,activity_focus,current_status,Infrastructure,Transactions,Discursive_Oil,Role,Actions_Timeline,is_part_of,concessions_grantee,concessions_granter
3,SITEP,Today owned by ETAP and ENI Tunisia B.V.,Tunisia,Société Italo-Tunisienne d'Exploitation Pétrolière,joint venture,10/06/1960,Exploration and Exploitation of Hydrocarbons in Southern Tunisia,joint venture,"Debbech,In Amenas - El Borma - La Skhirra","First convention for exploitation in Southern Tunisia & Establishment SITEP,El Borma Loi n°60-12 / 68-24/08/2010,DJEBEL GROUZ Décret loi 2022-41 du 17/06/2022,PERMIS DU SUD Loi n° 60-12 du 26/07/1960,JORT n.6",,"President - General Director,President,President,Engineer","Discovery Makhrouga,First cargo of Tunisian crude exported to Genoa",,"Permis du Sud 1960,El Borma 1960,'Bir Aouine 1978",
4,ESSO,,"Algeria,Tunisia",,private company,,,,,,,,,,,
5,CREPS,,Algeria,,public company,,,,,,,,,,,
6,STIR,1975 Tunisia bought ENI’s stake,Tunisia,Societé Tunisienne des industries de raffinage,joint venture,18/01/1960,"Refine crude oil in Tunisia and manage industrial operations to produce fuels, liquid combustibles, liquefied gases, and lubricants, primarily to meet the domestic market needs of Tunisia",state-owned company,,Establishment of STIR,,"President - General Director,President,President",Second round negotiations after American competition,,,
7,Agip Tunis,Participating 90% and 10%,Tunisia,Local Subsidiary AGIP Mineraria,joint venture,23/01/1960,distribution,,AGIP Motel & Station,,,"President - General Director,President,President",,,,
8,Ente Nazionale Idrocarburi,,Italy,"Ente Nazionale Idrocarburi, è un'azienda multinazionale fondata dallo Stato italiano nel 1953 a Roma come ente pubblico economico",state-owned,10/02/1953,"Oil & Gas Extraction, Refinement & Commerce",,,"Tripartite Agreement,First convention for exploitation in Southern Tunisia & Establishment SITEP",ENI fight with big companies,President,,,,
9,Ministry of Foreign Affairs and International Cooperation,,Italy,Ministry of the Italian government,institution,01/01/1861,Implement Italy's foreign policy and to represent the country in the context of international relations.,active,,,,Undersecretary of State for Foreign Affairs,,,,
10,ANIC,Today EniChem,"Italy,Tunisia",Azienda Nazionale Idrogenazione Combustibili,subsidiary,01/01/1936,Basic petrochemicals & petroleum,merged,,"Establishment of STIR,Convention between Tunisian Government and Agip on building a refinery in Tunisia",,,"First round negotiations refinery with ENI,Second round negotiations after American competition",Ente Nazionale Idrocarburi,,
11,Tunisian Government,,Tunisia,General Government of Tunisia,institution,20/03/1957,N/A,active,,"Tripartite Agreement,First convention for exploitation in Southern Tunisia & Establishment SITEP,Convention between Tunisian Government and Agip on building a refinery in Tunisia,Agreement Edjeleh-Gabes oil transportation,El Borma Loi n°60-12 / 68-24/08/2010,Decree n.51 for Douleb,Decree n.16 for Semama,Decree n.3 for Tamesmida,Sfax Kerkennah Concession,Sidi Litaiem JORT Decree n.35,Sidi Bahara JORT Decree n.35,Decree 4581-2014 for illicit extension Sidi Bahara & Litaiem",,"Secrétaire d'État tunisien au Transport,Secrétaire d'État tunisien au Commerce et à l'Industrie,Président du Conseil économique et social I,Président du Conseil économique et social","First round negotiations refinery with ENI,Second round negotiations after American competition",,,"Permis du Sud 1960,El Borma,El Borma 1960,Tunisie Centre Nord 1965,Sfax-Kerkennah 1972,'Bir Aouine 1978,Jenein Nord 1996,Permis du Sud 1972,Jenein Sud 2004"
12,Ministry Industry and Transportation,,Tunisia,Under Tunisian Government,institution,20/03/1957,,,,Establishment of STIR,,,,Tunisian Government,,
