id,last_name,first_name,notes,attachment,Transactions,discursive_oil,Role,Related_Events,Actions_Timeline,Discursive_Oil
3,Adamo,Giuseppina,,,,,,,,
4,Baglio,Antonio,,,,,Minister,,,
5,Bartolomei,Giuseppe,,,,,,,,
6,Bartolotta,Giuseppe,,,,,,,,
7,Ben Salah,Ahmed,,,,,,,,
8,Bernagozzi,Angelo,,,,,,,,
9,Bianchedi,Ugo,,,,,,,,
10,Bo,Giorgio,,,,,,,,
11,Boldrini,Marcello,,,,,,,,
12,Borella,Gianfranco,,,,,Amministratore,,,
13,Briatico,Franco,,,,,,,,
14,Cannizzo,Vincenzo,,,,,,,,
15,Casò,Enrico,,,,,,,,
16,Castagnoli,S.,,,,,,,,
17,Chiapponi,Mario,,,,,,,,
18,Ciucci,G.M.,,,,,,,,
19,Columba,F.to,,,,,,,,
20,Corrias,Angelo,,,,,,,,
21,Crosti,,,,,,,,,
22,Cusmano,Cesare,,,,,,,,
23,D'Ancona,Vincenzo,,,,,,,,
24,Dal Piaz,Giambattista,,,,,,,,
25,De Paolis,F.to,,,,,,,,
26,De Peverelli,Francesco,,,,,,,,
27,Di Pasquale,Angelo,,,,,,,,
28,Egidi,,,,,,Engineer,,Ubication Well El Borma 1,
29,Fanfani,Amintore,,,,,,,,
30,Farhat,Abdallah,,,,,,,,
31,Faversani,,,,,,Engineer,,Agreement signed with TRAPSA,
32,Fidora,Franco,,,,,,,,
33,Fogu,Giovanni,,,,,,,,
34,Folchi,Alberto,,,,Corrispondenze sul viaggio di Bourguiba a Salsomaggiore,Undersecretary of State for Foreign Affairs,,,
35,Fourati,Nourreddine,,,,,Amministratore,,,
36,Gandolfi,Vincenzo,,,,,,,,
37,Gandolfi,Enrico,,,,,,,,
38,Gavotti,Cesare,,,,,,,Second round negotiations after American competition,
39,Giannelli,,,,,,,,,
40,Girosi,Eduardo,,,,,Amministratore,,,
41,Girotti,Raffaele,,,,,Engineer,,"Ubication Well El Borma 1,Gas Pipeline El Borma-Gabès Start Year",
42,Grammatico,V.,,,,,,,,
43,Grazzi,,,,,Italy positioning itself as ENI during decolonization,,,,
44,Grazzini,Rosetta,,,,,,,,
45,Gronchi,Giovanni,,,,,,,,
46,Jaboli,,,,,,,,,
47,Jacoboni,Attilio,,,Convention between Tunisian Government and Agip on building a refinery in Tunisia,,,,First round negotiations refinery with ENI,
48,La Bruna,Raffaele,,,,,,,,
49,Laghdam,Bahi,,,,,,,,
50,Loddo,C.,,,,,,,,
51,Long,G.,,,,,,,,
52,Losacco,Ugo,,,,,,,,
53,Lugli,Franco,,,,,,,,
54,Maccotta,Speranza,,,,,,,,
55,Marracino,Enrico,,,,,,,,
56,Mattarella,,,,,,,,,
57,Mattei,Enrico,,,Establishment of STIR,ENI fight with big companies,President,,Agreement signed with TRAPSA,Corrispondenze sul viaggio di Bourguiba a Salsomaggiore
58,Mazio,Aldo Maria,,,,,,,,
59,Melis,Luisa,,,,,,,,
60,Morelli,Carlo,,,,,,,,
61,Natali,Lorenzo,,,,,,,,
62,Niutta,Ugo,,,,,,,,
63,Nouira,Hédi,,,,,,,,
64,Padovani,Mario,,,,,,,,
65,Passera,Sergio,,,,,,,,
66,Pesce,Angelo,,,,,,,,
67,Piazza,Vito,,,,,,,,
68,Pirani,Mario,,,,,,,,
69,Portaluri,S.,,,,,,,,
70,Ragni,Italo,,,,,,,,
71,Restelli,Giuseppe,,,,,,,,
72,Rocco,Tiziano,,,,,,,,
73,Romeo,Carlo,,,,,,,,
74,Rossi,Dino,,,,,,,,
75,Ruffolo,,,,,,,,,
76,Sakka,Moncef,,,,,,,,
77,Scarpa,Luigi,,,,,,,,
78,Senoussi,Ahmed,,,,,,,,
79,Soardi,Carlo Maria,,,,,,,,
80,Tawfik,Torjemane,,,,,President - General Director,,,
81,Tosi,G.,,,,,,,,
82,Travani,Maria-Bianca,,,,,,,,
83,Viscusi,,,,,,,,,
84,Willis,,,,,,,,,
85,Zanmatti,C,,,,,,,,
86,Zayed,Ali,,,,,,,,
87,Zouaoui,Ali,,,,,,,,
90,Souidi,Ammar,,,,,,,,
91,Zouhir,Fathi,,,,,"President,President",,,
92,Cuccia,Enrico,,,,,,,,
93,Bussolin,Giuseppe,,,,,,,,
94,Mestiri,Ahmed,,,,,,,,
95,Abbassi,Azzeddine,,,"Tripartite Agreement,Establishment of STIR",,"Secrétaire d'État tunisien au Transport,Secrétaire d'État tunisien au Commerce et à l'Industrie,Président du Conseil économique et social I,Président du Conseil économique et social",,,
96,Coffrini,,,,,,,,,
97,Casoni,E.,,,,,,,,
98,Augelli,I.,,,,,,,,
99,Colonna,C.B.,,,,,,,,
100,Ennagi,Bechir,,,,,,,,
101,Pelagatti,Carlo,,,,,,,,
102,Balduzzi,A.,,,,,,,,
103,Azzedine,Abbassi,,,Tripartite Agreement,,"Secrétaire d'État tunisien au Transport,Secrétaire d'État tunisien au Commerce et à l'Industrie",,,
104,Unknown Author,,,,,,,,,
105,Sommaruga,Claudio,,,,,Direttore Generale Aggiunto,,,
106,Colledan,Ugo,,,,,Amministratore,,,
107,Bourguiba,Habib,,,,,President,,,ENI fight with big companies
108,BOUTEFLIKA,Abdelaziz,,,,,,Algeria-France Oil and Gas Accord,,
109,Ben Djemaa,Sadek,,,,,President,,,
110,,,,,,,,,,
