id,Name,Notes,description,department,subdepartment,start_date,end_date,linked_people,linked_entities,linked_locations
3,Minister,,,,,,,Baglio,,
4,President,"Mattei was initially its president, then also the administrator and the general director",,,,1953-01-01,1962-01-01,"Mattei,Bourguiba",Ente Nazionale Idrocarburi,
5,Undersecretary of State for Foreign Affairs,,,N/A,N/A,1955-01-01,1960-01-01,Folchi,Ministry of Foreign Affairs and International Cooperation,
6,Secrétaire d'État tunisien au Transport,,,,,1958-01-01,1961-01-01,"Abbassi,Azzedine",Tunisian Government,
7,Secrétaire d'État tunisien au Commerce et à l'Industrie,,,,,1957-01-01,1968-01-01,"Abbassi,Azzedine",Tunisian Government,
8,Président du Conseil économique et social I,Position created,,,,1961-01-01,1969-01-01,Abbassi,Tunisian Government,
9,Président du Conseil économique et social,,,,,1973-01-01,1975-01-01,Abbassi,Tunisian Government,
10,President - General Director,,,,,1966-01-01,,Tawfik,"SITEP,STIR,Agip Tunis",
11,Direttore Generale Aggiunto,,,,,1966-01-01,,Sommaruga,,
12,Amministratore,,,,,1966-01-01,,Fourati,,
13,Amministratore,,,,,1966-01-01,,Borella,,
14,Amministratore,,,,,1966-01-01,,Girosi,,
15,Amministratore,,,,,1966-01-01,,Colledan,,
16,Foreign Minister,,,,,1963-01-01,1979-01-01,,Minister of Foreign Affairs,
17,President,,,,,,,Zouhir,"SITEP,STIR,Agip Tunis",
18,President,,,,,,,Zouhir,,
19,President,,,,,1968-02-02,,Ben Djemaa,"SITEP,STIR,Agip Tunis",
20,Engineer,,,,,,,"Egidi,Faversani,Girotti",SITEP,
