id,Name,Notes,transaction_type,date_recorded,regulated_activity,linked_entities,linked_people,linked_sources,linked_licenses,Discursive_Oil,Actions_Timeline
3,Tripartite Agreement,,convention,1960-06-13,exploration,"Ente Nazionale Idrocarburi,Tunisian Government","Abbassi,Azzedine","El Amal Editorial Vent against French anger due to agreement with ENI in the Sahara,Discussioni su accordo tripartito",El Borma 1960,Article from Agenzia Italiana,"Building Bizerte refinery,Bizerte refinery inauguration"
4,Establishment of STIR,,JV constitution,1960-02-10,refinement,"STIR,ANIC,Ministry Industry and Transportation","Mattei,Abbassi",18_Convenzione tra governo Tunisino e ENI,,,"Second round negotiations after American competition,Building Bizerte refinery"
5,First convention for exploitation in Southern Tunisia & Establishment SITEP,,convention,1960-06-10,exploration,"SITEP,Ente Nazionale Idrocarburi,Tunisian Government",,SITEP Convention,,,
6,Italian confirmation for ENI to expand market Tunisia,,not good,1960-08-10,commercial,Ministero delle Partecipazioni Statali,,Prot. n. 32520 Lettera dal Ministro delle Partecipazioni a ENI,,A Gabes le concessioni dell'AGIP in Tunisia,
7,Convention between Tunisian Government and Agip on building a refinery in Tunisia,,convention,1959-10-16,refinement,"ANIC,Tunisian Government",Jacoboni,Convenzione su valutazione tecnico-economica per la costruzione di una raffineria in Tunisia,,,First round negotiations refinery with ENI
8,Agreement Edjeleh-Gabes oil transportation,,contract,1958-06-30,transportation,"Tunisian Government,French Government",,Lettera segreta da Mattei a Bourguiba,,,
9,CFP-Total Contract with Algeria,First French company making peace with Algerian government,not good,1971-06-01,exploration,"CFP-Total,Total-Algérie,ALREP",,,,,
10,French-Algerian Oil & Gas Treaty,,not good,1965-07-29,exploration,"ASCOOP,SONATRACH",,,,,
11,El Borma Loi n°60-12 / 68-24/08/2010,,approving ministerial law,1960-07-20,exploration,"SITEP,Tunisian Government",,Lettera ENI con dettagli legali su permesso El Borma,El Borma 1960,,
12,Three Decrees by Secretariat d'Etat à l'Industrie et aux Transports for southern permits,,not good,,exploration,,,SITEP Convention,Permis du Sud 1960,,
13,Tunisie Centre Nord Exploration Convention,,convention,1964-06-05,exploration,"SEREPT,SNPA",,"Serept Website - Our History (1971-1964) Resumption of Activities,Convention et Cahier des Charges pour le permis du Centre Nord Tunisien",Tunisie Centre Nord 1965,,
14,Decree n.51 for Douleb,,approving JORT decree,1968-11-29,exploration,"Tunisian Government,SEREPT",,Secrets of Hydrocarbon Contracts in Tunisia,,,"Exploration DST - Douleb,Production DST - Douleb"
15,Decree n.16 for Semama,,approving JORT decree,1976-03-02,exploration,"Tunisian Government,SEREPT",,Secrets of Hydrocarbon Contracts in Tunisia,,,
16,Decree n.3 for Tamesmida,,approving JORT decree,1970-01-20,exploration,"Tunisian Government,SEREPT",,Secrets of Hydrocarbon Contracts in Tunisia,,,"Exploration DST - Tamesmida,Production DST - Tamesmida"
17,Djbel Tamesmida Décret-loi 2022-40 du 17/06/2022,SEREPT 5% ETAP 95%,extension decree,2022-06-17,exploration,"ETAP,SEREPT",,Concessions d'exploitation d'hydrocarbures en Tunisie à fin 2022. Nombre de concessions: 56,,,Extension DST - Tamesmima
18,Djbel Douleb Décret-loi 2022-42 du 17 juin 2022,,extension decree,2022-07-27,exploration,"ETAP,SEREPT",,Concessions d'exploitation d'hydrocarbures en Tunisie à fin 2022. Nombre de concessions: 56,,,Extension DST - Douleb
19,Sfax Kerkennah Concession,,convention,1969-02-10,exploration,"Tunisian Government,CFTP",,Convention Permis Sfax-Kerkennah,Sfax-Kerkennah 1972,,
20,Sidi Litaiem JORT Decree n.35,,approving JORT decree,1972-08-29,exploration,"Tunisian Government,CFTP",,Secrets of Hydrocarbon Contracts in Tunisia,Sfax-Kerkennah 1972,,Production - Sidi Litaiem
21,Sidi Bahara JORT Decree n.35,,approving JORT decree,1975-05-23,exploration,"Tunisian Government,CFTP",,Secrets of Hydrocarbon Contracts in Tunisia,Sfax-Kerkennah 1972,,Sidi Baharat - Exploration Started
22,Decree 4581-2014 for illicit extension Sidi Bahara & Litaiem,,extension decree,2014-12-31,exploration,"Tunisian Government,CFTP",,Secrets of Hydrocarbon Contracts in Tunisia,Sfax-Kerkennah 1972,,Sidi Baharat & Litaiem Illicit Extension of permit
